學校名稱,外國生,僑生,陸生,外國交換生
國立政治大學,500,679,352,666
國立清華大學,747,521,279,120
國立臺灣大學,1053,1629,453,1176
國立臺灣師範大學,591,762,144,279
國立臺灣師大僑生先修部,0,600,0,0
國立成功大學,1046,817,172,132
國立中興大學,398,386,43,71
國立交通大學,585,396,145,228
國立中央大學,569,187,103,97
國立中山大學,327,252,74,222
國立臺灣海洋大學,106,425,20,2
國立中正大學,187,226,25,41
國立高雄師範大學,44,107,30,18
國立彰化師範大學,49,235,30,19
國立陽明大學,163,137,16,12
國立臺北大學,61,330,53,64
國立嘉義大學,63,269,2,10
國立高雄大學,59,141,7,67
國立東華大學,382,397,27,37
國立暨南國際大學,68,489,12,3
國立臺灣科技大學,928,371,147,237
國立雲林科技大學,150,230,99,13
國立屏東科技大學,301,218,4,2
國立臺北科技大學,446,424,154,140
國立臺北藝術大學,68,117,51,24
國立臺灣藝術大學,60,149,51,13
國立臺東大學,13,42,4,4
國立宜蘭大學,14,99,4,3
國立聯合大學,1,55,13,11
